要素,選択肢,減額下限(円),減額上限(円),メモ
grade,S,0,0,
grade,A,-5000,-8000,
grade,B,-15000,-25000,
grade,C,-30000,-45000,
grade,D,-60000,-90000,
battery,OK,0,0,
battery,Service,-10000,-15000,バッテリー修理推奨/劣化
battery,Unknown,-3000,-8000,不明は保守的に
screen,OK,0,0,
screen,Damage,-20000,-60000,割れ/表示不良/強いムラ
screen,Unknown,-5000,-15000,
keyboard,OK,0,0,
keyboard,Issue,-8000,-15000,キー欠け/反応不良等
keyboard,Unknown,-3000,-8000,
accessories,Charger+Box,0,0,
accessories,Charger,-1000,-3000,箱なし
accessories,None,-3000,-7000,充電器なし
repair,None,0,0,
repair,Yes,-10000,-30000,修理歴/水没/基板修理など
repair,Unknown,-5000,-15000,
